node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
NPC1,1.0,0.0,1.0,1.0,4.921,1.0,0.13832,30.40238,5.59347,0.0,0.0,0.0,
NR4A2,24.0,0.56839,4.0,4.0,26.027,1.0,0.16138,46.46667,6.95382,0.0,0.0,1.0,
PACRG,1.0,0.0,1.0,1.0,12.119,1.0,0.16138,41.86667,6.71376,0.0,0.0,0.0,
PTEN,6.0,0.30898,3.0,5.0,32.395,3.0,0.16138,46.96667,6.94582,279.39061,1348.0,0.2,
SPG11,4.0,0.30779,2.0,4.0,14.513,3.0,0.13832,40.55952,6.44969,519.5148,2792.0,0.16667,
POLG,1.0,0.0,1.0,1.0,1.2,1.0,0.01587,1.0,0.04762,0.0,0.0,0.0,
TWNK,1.0,0.0,1.0,1.0,1.2,1.0,0.01587,1.0,0.04762,0.0,0.0,0.0,
THAP1,2.0,0.30779,2.0,2.0,5.041,1.0,0.13832,33.80952,6.00157,0.0,0.0,1.0,
SIGMAR1,1.0,0.0,1.0,1.0,11.816,1.0,0.13832,33.84286,5.89755,0.0,0.0,0.0,
SLC30A10,1.0,0.0,1.0,1.0,1.198,1.0,0.01587,1.0,0.04762,0.0,0.0,0.0,
SLC39A14,1.0,0.0,1.0,1.0,1.198,1.0,0.01587,1.0,0.04762,0.0,0.0,0.0,
WASHC5,3.0,0.30779,2.0,3.0,14.548,1.0,0.16138,41.7,6.64974,68.37133,496.0,0.33333,
TAF1,1.0,0.0,1.0,1.0,1.818,1.0,0.12103,23.97381,4.52919,0.0,0.0,0.0,
